Simulation;Node;Local Preference;Next-hop;Path Length;Termination Time
1;328;•;;0;0
1;131402;•;;0;0
1;262476;•;;0;0
1;393550;•;;0;0
1;329;•;;0;0
1;131403;•;;0;0
1;262477;•;;0;0
1;262478;•;;0;0
1;393548;•;;0;0
1;331;•;;0;0
1;131401;•;;0;0
1;393549;•;;0;0
1;393546;•;;0;0
1;131407;•;;0;0
1;262473;•;;0;0
1;393547;•;;0;0
1;334;•;;0;0
1;131404;•;;0;0
1;262474;•;;0;0
1;393544;•;;0;0
1;335;•;;0;0
1;131405;•;;0;0
1;262475;•;;0;0
1;336;•;;0;0
1;131410;•;;0;0
1;262484;•;;0;0
1;393558;•;;0;0
1;337;•;;0;0
1;131411;•;;0;0
1;262485;•;;0;0
1;338;•;;0;0
1;131408;•;;0;0
1;262486;•;;0;0
1;393556;•;;0;0
1;339;•;;0;0
1;131409;•;;0;0
1;262487;•;;0;0
1;393557;•;;0;0
1;340;•;;0;0
1;131414;•;;0;0
1;262480;•;;0;0
1;393554;•;;0;0
1;341;•;;0;0
1;131415;•;;0;0
1;262481;•;;0;0
1;393555;•;;0;0
1;342;•;;0;0
1;131412;•;;0;0
1;262482;•;;0;0
1;393552;•;;0;0
1;343;•;;0;0
1;131413;•;;0;0
1;262483;•;;0;0
1;393553;•;;0;0
1;344;•;;0;0
1;131418;•;;0;0
1;262492;•;;0;0
1;393566;•;;0;0
1;345;•;;0;0
1;131419;•;;0;0
1;262493;•;;0;0
1;393567;•;;0;0
1;346;•;;0;0
1;262494;•;;0;0
1;393564;•;;0;0
1;347;•;;0;0
1;131417;•;;0;0
1;262495;•;;0;0
1;393565;•;;0;0
1;348;•;;0;0
1;262488;•;;0;0
1;349;•;;0;0
1;131423;•;;0;0
1;262489;•;;0;0
1;393563;•;;0;0
1;350;•;;0;0
1;262490;•;;0;0
1;393560;•;;0;0
1;351;•;;0;0
1;131421;•;;0;0
1;262491;•;;0;0
1;352;•;;0;0
1;131426;•;;0;0
1;262500;•;;0;0
1;353;•;;0;0
1;131427;•;;0;0
1;262501;•;;0;0
1;393575;•;;0;0
1;262502;•;;0;0
1;393572;•;;0;0
1;355;•;;0;0
1;131425;•;;0;0
1;262503;•;;0;0
1;393573;•;;0;0
1;356;•;;0;0
1;131430;•;;0;0
1;262496;•;;0;0
1;393570;•;;0;0
1;357;•;;0;0
1;262497;•;;0;0
1;393571;•;;0;0
1;358;•;;0;0
1;131428;•;;0;0
1;262498;•;;0;0
1;393568;•;;0;0
1;359;•;;0;0
1;131429;•;;0;0
1;262499;•;;0;0
1;393569;•;;0;0
1;360;•;;0;0
1;131434;•;;0;0
1;262508;•;;0;0
1;393582;•;;0;0
1;361;•;;0;0
1;131435;•;;0;0
1;262509;•;;0;0
1;393583;•;;0;0
1;362;•;;0;0
1;393580;•;;0;0
1;131433;•;;0;0
1;262511;•;;0;0
1;393581;•;;0;0
1;364;•;;0;0
1;131438;•;;0;0
1;262504;•;;0;0
1;393578;•;;0;0
1;365;•;;0;0
1;131439;•;;0;0
1;262505;•;;0;0
1;393579;•;;0;0
1;366;•;;0;0
1;262506;•;;0;0
1;393576;•;;0;0
1;367;•;;0;0
1;131437;•;;0;0
1;262507;•;;0;0
1;368;•;;0;0
1;131442;•;;0;0
1;262516;•;;0;0
1;393590;•;;0;0
1;369;•;;0;0
1;262517;•;;0;0
1;393591;•;;0;0
1;370;•;;0;0
1;131440;•;;0;0
1;262518;•;;0;0
1;393588;•;;0;0
1;371;•;;0;0
1;262519;•;;0;0
1;372;•;;0;0
1;131446;•;;0;0
1;262512;•;;0;0
