 Time  | Event  |   Node   | Routing Information
   4   | LEARN  |  395447  | • via 3356
   4   | LEARN  |  395438  | • via 3356
   4   | LEARN  |  395435  | • via 3356
   4   | LEARN  |  395425  | • via 3356
   4   | LEARN  |  395420  | • via 3356
   4   | LEARN  |  395415  | • via 3356
   4   | LEARN  |  395414  | • via 3356
   4   | LEARN  |  395413  | • via 3356
   4   | LEARN  |  395389  | • via 3356
   4   | LEARN  |  395387  | • via 3356
   4   | LEARN  |  395379  | • via 3356
   4   | LEARN  |  395372  | • via 3356
   4   | LEARN  |  395370  | • via 3356
   4   | LEARN  |  395368  | • via 3356
   4   | LEARN  |  395362  | • via 3356
   4   | LEARN  |  395359  | • via 3356
   4   | LEARN  |  395355  | • via 3356
   4   | LEARN  |  395354  | • via 3356
   4   | LEARN  |  395353  | • via 3356
   4   | LEARN  |  395351  | • via 3356
   4   | LEARN  |  395343  | • via 3356
   4   | LEARN  |  395341  | • via 3356
   4   | LEARN  |  395337  | • via 3356
   4   | LEARN  |  395336  | • via 3356
   4   | LEARN  |  395324  | • via 3356
   4   | LEARN  |  395312  | • via 3356
   4   | LEARN  |  395291  | • via 3356
   4   | LEARN  |  395290  | • via 3356
   4   | LEARN  |  395287  | • via 3356
   4   | LEARN  |  395279  | • via 3356
   4   | LEARN  |  395277  | • via 3356
   4   | LEARN  |  395273  | • via 3356
   4   | LEARN  |  395270  | • via 3356
   4   | LEARN  |  395266  | • via 3356
   4   | LEARN  |  395259  | • via 3356
   4   | LEARN  |  395258  | • via 3356
   4   | LEARN  |  395257  | • via 3356
   4   | LEARN  |  395245  | • via 3356
   4   | LEARN  |  395230  | • via 3356
   4   | LEARN  |  395218  | • via 3356
   4   | LEARN  |  395195  | • via 3356
   4   | LEARN  |  395189  | • via 3356
   4   | LEARN  |  395186  | • via 3356
   4   | LEARN  |  395178  | • via 3356
   4   | LEARN  |  395176  | • via 3356
   4   | LEARN  |  395174  | • via 3356
   4   | LEARN  |  395162  | • via 3356
   4   | LEARN  |  395146  | • via 3356
   4   | LEARN  |  395139  | • via 3356
   4   | LEARN  |  395137  | • via 3356
   4   | LEARN  |  395120  | • via 3356
   4   | LEARN  |  395104  | • via 3356
   4   | LEARN  |  395098  | • via 3356
   4   | LEARN  |  395070  | • via 3356
   4   | LEARN  |  395069  | • via 3356
   4   | LEARN  |  395061  | • via 3356
   4   | LEARN  |  395059  | • via 3356
   4   | LEARN  |  395056  | • via 3356
   4   | LEARN  |  395055  | • via 3356
   4   | LEARN  |  395034  | • via 3356
   4   | LEARN  |  395032  | • via 3356
   4   | LEARN  |  395030  | • via 3356
   4   | LEARN  |  395028  | • via 3356
   4   | LEARN  |  395020  | • via 3356
   4   | LEARN  |  395012  | • via 3356
   4   | LEARN  |  395006  | • via 3356
   4   | LEARN  |  395004  | • via 3356
   4   | LEARN  |  394997  | • via 3356
   4   | LEARN  |  394984  | • via 3356
   4   | LEARN  |  394977  | • via 3356
   4   | LEARN  |  394976  | • via 3356
   4   | LEARN  |  394973  | • via 3356
   4   | LEARN  |  394968  | • via 3356
   4   | LEARN  |  394964  | • via 3356
   4   | LEARN  |  394953  | • via 3356
   4   | LEARN  |  394951  | • via 3356
   4   | LEARN  |  394948  | • via 3356
   4   | LEARN  |  394945  | • via 3356
   4   | LEARN  |  394944  | • via 3356
   4   | LEARN  |  394928  | • via 3356
   4   | LEARN  |  394926  | • via 3356
   4   | LEARN  |  394912  | • via 3356
   4   | LEARN  |  394903  | • via 3356
   4   | LEARN  |  394902  | • via 3356
   4   | LEARN  |  394901  | • via 3356
   4   | LEARN  |  394899  | • via 3356
   4   | LEARN  |  394898  | • via 3356
   4   | LEARN  |  394897  | • via 3356
   4   | LEARN  |  394896  | • via 3356
   4   | LEARN  |  394895  | • via 3356
   4   | LEARN  |  394878  | • via 3356
   4   | LEARN  |  394875  | • via 3356
   4   | LEARN  |  394866  | • via 3356
   4   | LEARN  |  394864  | • via 3356
   4   | LEARN  |  394861  | • via 3356
   4   | LEARN  |  394856  | • via 3356
   4   | LEARN  |  394853  | • via 3356
   4   | LEARN  |  394841  | • via 3356
   4   | LEARN  |  394828  | • via 3356
   4   | LEARN  |  394804  | • via 3356
   4   | LEARN  |  394785  | • via 3356
   4   | LEARN  |  394779  | • via 3356
   4   | LEARN  |  394773  | • via 3356
   4   | LEARN  |  394767  | • via 3356
   4   | LEARN  |  394756  | • via 3356
   4   | LEARN  |  394755  | • via 3356
   4   | LEARN  |  394744  | • via 3356
   4   | LEARN  |  394736  | • via 3356
   4   | LEARN  |  394730  | • via 3356
   4   | LEARN  |  394729  | • via 3356
   4   | LEARN  |  394728  | • via 3356
   4   | LEARN  |  394724  | • via 3356
   4   | LEARN  |  394718  | • via 3356
   4   | LEARN  |  394714  | • via 3356
   4   | LEARN  |  394695  | • via 3356
   4   | LEARN  |  394687  | • via 3356
   4   | LEARN  |  394685  | • via 3356
   4   | LEARN  |  394656  | • via 3356
   4   | LEARN  |  394646  | • via 3356
   4   | LEARN  |  394633  | • via 3356
   4   | LEARN  |  394625  | • via 3356
   4   | LEARN  |  394612  | • via 3356
   4   | LEARN  |  394610  | • via 3356
   4   | LEARN  |  394609  | • via 3356
   4   | LEARN  |  394603  | • via 3356
   4   | LEARN  |  394600  | • via 3356
   4   | LEARN  |  394599  | • via 3356
   4   | LEARN  |  394597  | • via 3356
   4   | LEARN  |  394595  | • via 3356
   4   | LEARN  |  394589  | • via 3356
   4   | LEARN  |  394565  | • via 3356
   4   | LEARN  |  394563  | • via 3356
   4   | LEARN  |  394558  | • via 3356
   4   | LEARN  |  394526  | • via 3356
   4   | LEARN  |  394517  | • via 3356
   4   | LEARN  |  394514  | • via 3356
   4   | LEARN  |  394480  | • via 3356
   4   | LEARN  |  394479  | • via 3356
   4   | LEARN  |  394471  | • via 3356
   4   | LEARN  |  394467  | • via 3356
   4   | LEARN  |  394452  | • via 3356
   4   | LEARN  |  394450  | • via 3356
   4   | LEARN  |  394437  | • via 3356
   4   | LEARN  |  394434  | • via 3356
   4   | LEARN  |  394406  | • via 3356
   4   | LEARN  |  394396  | • via 3356
   4   | LEARN  |  394342  | • via 3356
   4   | LEARN  |  394339  | • via 3356
   4   | LEARN  |  394328  | • via 3356
   4   | LEARN  |  394327  | • via 3356
   4   | LEARN  |  394326  | • via 3356
   4   | LEARN  |  394314  | • via 3356
   4   | LEARN  |  394301  | • via 3356
   4   | LEARN  |  394298  | • via 3356
   4   | LEARN  |  394295  | • via 3356
   4   | LEARN  |  394287  | • via 3356
   4   | LEARN  |  394272  | • via 3356
   4   | LEARN  |  394265  | • via 3356
   4   | LEARN  |  394261  | • via 3356
   4   | LEARN  |  394260  | • via 3356
   4   | LEARN  |  394249  | • via 3356
   4   | LEARN  |  394207  | • via 3356
   4   | LEARN  |  394204  | • via 3356
   4   | LEARN  |  394201  | • via 3356
   4   | LEARN  |  394195  | • via 3356
   4   | LEARN  |  394192  | • via 3356
   4   | LEARN  |  394184  | • via 3356
   4   | LEARN  |  394178  | • via 3356
   4   | LEARN  |  394163  | • via 3356
   4   | LEARN  |  394161  | • via 3356
   4   | LEARN  |  394147  | • via 3356
   4   | LEARN  |  394133  | • via 3356
   4   | LEARN  |  394128  | • via 3356
   4   | LEARN  |  394122  | • via 3356
   4   | LEARN  |  394118  | • via 3356
   4   | LEARN  |  394117  | • via 3356
   4   | LEARN  |  394105  | • via 3356
   4   | LEARN  |  394101  | • via 3356
   4   | LEARN  |  394099  | • via 3356
   4   | LEARN  |  394084  | • via 3356
   4   | LEARN  |  394077  | • via 3356
   4   | LEARN  |  394076  | • via 3356
   4   | LEARN  |  394073  | • via 3356
   4   | LEARN  |  394064  | • via 3356
   4   | LEARN  |  394060  | • via 3356
   4   | LEARN  |  394053  | • via 3356
   4   | LEARN  |  394043  | • via 3356
   4   | LEARN  |  394032  | • via 3356
   4   | LEARN  |  394024  | • via 3356
   4   | LEARN  |  394012  | • via 3356
   4   | LEARN  |  394009  | • via 3356
   4   | LEARN  |  393997  | • via 3356
   4   | LEARN  |  393984  | • via 3356
   4   | LEARN  |  393971  | • via 3356
   4   | LEARN  |  393969  | • via 3356
   4   | LEARN  |  393947  | • via 3356
   4   | LEARN  |  393946  | • via 3356
   4   | LEARN  |  393931  | • via 3356
   4   | LEARN  |  393924  | • via 3356
   4   | LEARN  |  393922  | • via 3356
   4   | LEARN  |  393912  | • via 3356
   4   | LEARN  |  393904  | • via 3356
   4   | LEARN  |  393900  | • via 3356
   4   | LEARN  |  393895  | • via 3356
   4   | LEARN  |  393891  | • via 3356
   4   | LEARN  |  393880  | • via 3356
   4   | LEARN  |  393861  | • via 3356
   4   | LEARN  |  393856  | • via 3356
   4   | LEARN  |  393847  | • via 3356
   4   | LEARN  |  393828  | • via 3356
